"COM
COD",COURSE NO.,COURSE TITLE,"CREDIT
L   P   U","S E
,Practical,,,,1,Ramaswamy Venkatakrishna,T,89,
,,,,,,Pattiwar Shravan Kumar,,,
,,,,,2,Ramaswamy Venkatakrishna,Th,89,
,,,,,,Pattiwar Shravan Kumar,,,
,,,,,3,Tathagata Ray,M,45,
,,,,,,S Rasagna Vakkalanka,,,
BITS F314,"GAME THEORY AND ITS
APPLICATIONS",3,-,3,1,DURGESH C PATHAK,M W F,3,
BITS F315,"INTRODUCTION TO COGNITIVE
NEUROSCIENCE",3,-,3,1,SRINIVAS PRASAD K,T Th S,2,Unnamed: 9
BITS F327,"ARTIFICIAL INTELLIGENCE FOR
ROBOTICS",2,1,3,1,ABHISHEK SARKAR,T Th,4,
,Practical,,,,,Abhishek Sarkar,Th,89,
BITS F385,INTRO TO GENDER STUDIES,3,-,3,1,TONY SEBASTIAN,M W F,4,
BITS F399,HUMANISTIC THEO OF SC & TECH,3,-,3,1,BISWANATH DASH,T Th S,2,
BITS F412,PRACTICE SCHOOL II,-,-,20,1,SP REGALLA,,,
BITS F413,PRACTICE SCHOOL II,-,-,20,1,SP REGALLA,,,
BITS F415,INTRODUCTION TO MEMS,3,1,4,1,SANKET GOEL,M W F,3,
,Practical,,,,1,Sanket Goel,T,89,
,,,,,,Abhishek Kumar,,,
,,,,,,Pavar Sai Kumar,,,
,,,,,2,Sanket Goel,Th,89,
,,,,,,Abhishek Kumar,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"COURSE
NO.",COURSE TITLE,"CREDIT
L P U",,,"S E
C","INSTRUCTOR-IN-CHARGE/
Instructor",DAYS,HOURS,
,,,,,,Pavar Sai Kumar,,,
BITS F421T,THESIS,-,-,16,1,SRIDHAR RAJU,,,
BITS F422T,THESIS,-,-,16,1,SRIDHAR RAJU,,,
BITS F423T,THESIS,-,-,9,1,SRIDHAR RAJU,,,
BITS F424T,THESIS,-,-,9,1,SRIDHAR RAJU,,,
BITS F428,ESSENTIALS OF STRATE MGT,3,-,3,1,R RAGHUNATHAN,T Th S,2,
BITS F441,ROBOTICS,3,-,3,1,YV DASESWARA RAO,M W F,3,
BITS F442,REMOTE SENS & IMAGE PROC,3,-,3,1,K RAJITHA,M W F,3,
BITS F463,CRYPTOGRAPHY,3,-,3,1,G GEETHAKUMARI,M W F,1 6,
,,,,,,Chillara Anil Kumar,,,
,,,,,,Praneeta Krishnaprasad Mag,,,
BITS F464,MACHINE LEARNING,3,-,3,1,NL BHANUMURTHY,M W F,11,
,,,,,,Chaitra C R,,,
,,,,,,Chavali Lalitha,,,
,,,,,,P. Priyanka Chowdary,,,
BITS G513,STUDY IN ADVANCED TOPICS,-,-,5,1,V V KRISHNA VENUGANTI,,,
BITS G529,RESEARCH PROJECT I,-,-,6,1,V V KRISHNA VENUGANTI,,,
BITS G539,RESEARCH PROJECT II,-,-,6,1,V V KRISHNA VENUGANTI,,,
BITS G540,RESEARCH PRACTICE,-,-,4,1,V V KRISHNA VENUGANTI,,,
BITS G563T,DISSERTATION,-,-,16,1,V V KRISHNA VENUGANTI,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"COURSE
NO.",COURSE TITLE,"CREDIT
L P U",,,"S E
C","INSTRUCTOR-IN-CHARGE/
Instructor",DAYS,HOURS,
BITS G629T,DISSERTATION,-,-,16,1,V V KRISHNA VENUGANTI,,,
BITS G639,PRACTICE SCHOOL,-,-,20,1,SP REGALLA,,,
BITS G649,READING COURSE,-,-,5,1,V V KRISHNA VENUGANTI,,,
BITS G661,RESEARCH METHODOLOGY I,-,-,5,1,KARTHIK CHETAN,T Th S,5,
CE F241,ANALYSIS OF STRUCTURES,3,-,3,1,RAGHU PISKA,M W F,2,
,Tutorial,,,,,Raghu Piska,T,8,
CE F242,"CONSTRUCTION PLANNING &
TECH",3,-,3,1,CHANDU PARIMI,M W F,3,
,Tutorial,,,,,Sheik Mohammed Zoheb Na,Th,1,
,,,,,,Krishnendu Sivadas,,,
CE F243,SOIL MECHANICS,3,1,4,1,ANASUA GUHARAY,T Th S,4,
,Practical,,,,,Meenu Krishnan,T,67,
,,,,,,Ankur Abhishek,,,
,Tutorial,,,,,Anasua Guharay,S,1,
,,,,,,Ankur Abhishek,,,Unnamed: 9
CE F244,HIGHWAY ENGINEERING,3,1,4,1,V VINAYAKA RAM,T Th,9,
,,,,,,V Vinayaka Ram,F,10,
,Practical,,,,,Md Ikramullah Khan,Th,67,
,Tutorial,,,,,V Vinayaka Ram,T,1,
,,,,,,Md Ikramullah Khan,,,
CE F266,STUDY PROJECT,-,-,3,1,ANMALA JAGADEESH,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"COURSE
NO.",COURSE TITLE,"CREDIT
L P U",,,"S E
C","INSTRUCTOR-IN-CHARGE/
Instructor",DAYS,HOURS,
CE F321,ENGINEERING HYDROLOGY,3,-,3,1,K SRINIVASA RAJU,M W F,1 7,
,Tutorial,,,,,K Srinivasa Raju,M,1,
CE F342,WATER & WASTEWATER TREAT,3,1,4,1,MURARI R R VARMA,T Th S,5,
,Practical,,,,1,Nagalapalli Satish,M,45,
,,,,,2,Vogeti Rishith Kumar,T,89,
,,,,,3,Deepjyoti Deb,W,45,
,Tutorial,,,,,Murari R R Varma,F,4,
CE F343,DESIGN OF STEEL STRUCTURES,3,-,3,1,CHANDU PARIMI,M W F,9,
,Tutorial,,,,,Chandu Parimi,F,1,
,,,,,,G Sachin Chakravart,,,
CE F366,LABORATORY PROJECT,-,-,3,1,K RAJITHA,,,
CE F367,LABORATORY PROJECT,-,-,3,1,K RAJITHA,,,
CE F376,DESIGN PROJECT,-,-,3,1,RAGHU PISKA,,,
CE F377,DESIGN PROJECT,-,-,3,1,RAGHU PISKA,,,
CE F411,OPER RESEARCH FOR ENGIN,3,-,3,1,A VASAN,T Th S,4,
CE F415,DES OF PREST CONC STRUCT,3,-,3,1,BAHURUDEEN A,T Th S,3,
CE F416,COMP APPL IN CIVIL ENGG,2,2,4,1,ARKAMITRA KAR,M W,1 1,
,Practical,,,,,Arkamitra Kar,F,45,
,,,,,,Pujitha Ganapathi C,,,
,,,,,,Arkamitra Kar,Th,89,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"COURSE
NO.",COURSE TITLE,"CREDIT
L P U",,,"S E
C","INSTRUCTOR-IN-CHARGE/
Instructor",DAYS,HOURS,
,,,,,,Pujitha Ganapathi C,,,
CE F423,GREEN BUILD & ENER CONSE,3,-,3,1,MURARI R R VARMA,M W F,2,
CE F425,AIRPORT RAIL & WATERWAYS,3,-,3,1,V VINAYAKA RAM,T Th S,4,
CE F426,GEOSYN & REIN SOIL STR,3,-,3,1,ANASUA GUHARAY,M W F,7,
CE F435,INTRODUCTION TO FEM,3,-,3,1,PN RAO,M W F,3,
CE G514,STRUCTURAL OPTIMIZATION,3,1,4,1,A VASAN,M W F,3,
CE G518,PAVEMENT ANALYSIS & DES,3,1,4,1,SRIDHAR RAJU,T Th S,5,
,Practical,,,,,Vuthipalli Harshitha,M,89,
CE G566,PUBLIC TRANSPORTATION,3,1,4,1,PRASANTA KUMAR SAHU,T Th S,4,
,Practical,,,,,Prasanta Kumar Sahu,W,89,
CE G570,"HIGHWAY CONSTRUCTION
TECHNOLOG",3,1,4,1,SRIDHAR RAJU,M W F,5,
,Practical,,,,,Sridhar Raju,Th,89,
CE G575,FREIGHT TRANSPORTATION,3,1,4,1,PRASANTA KUMAR SAHU,M W F,4,
,Practical,,,,,Balla Bhavani Shankar,T,89,Unnamed: 9
CE G613,ADV CONCRETE STRUCTURES,3,1,4,1,BAHURUDEEN A,M W F,5,
,Practical,,,,,Chirdeep N R,W,89,
,,,,,,Bahurudeen A,,,
