"COM
COD",COURSE NO.,COURSE TITLE,"CREDIT
L   P   U","S E
,,,,,2,Sharvani Gadgil,W,45,
,,,,,,TO BE ANNOUNCED,,,
,,,,,3,Jisy N K,F,45,
,,,,,,TO BE ANNOUNCED,,,
CS F363,COMPILER CONSTRUCTION,2,1,3,1,RAGHUNATH REDDY M,M W,9,
,Practical,,,,1,Raghunath Reddy M,M,45,
,,,,,,S Vishwanath Reddy,,,
,,,,,2,Aruna Malapati,W,45,
,,,,,,S Vishwanath Reddy,,,
,,,,,3,Aruna Malapati,F,45,
,,,,,,K Simran,,,
,,,,,4,R Gururaj,Th,89,
,,,,,,K Simran,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"COURSE
NO.",COURSE TITLE,"CREDIT
L P U",,,"S E
C","INSTRUCTOR-IN-CHARGE/
Instructor",DAYS,HOURS,
,Tutorial,,,,1,Raghunath Reddy M,W,1,
,,,,,2,Jabez J Christopher,Th,7,
,,,,,3,Jabez J Christopher,W,1,
,,,,,4,Jabez J Christopher,F,1,
CS F364,DESIGN & ANAL OF ALGO,3,-,3,1,TATHAGATA RAY,T Th S,5,
,Tutorial,,,,1,Tathagata Ray,F,1,
,,,,,,Afrin Alam,,,
,,,,,2,Manjanna B,M,1,
,,,,,,Anand Agrawal,,,
,,,,,3,Manjanna B,F,1,
,,,,,,Priyanka Rushikesh Chaudh,,,Unnamed: 9
,,,,,4,Apurba Das,T,7,
,,,,,,Priyanka Rushikesh Chaudh,,,
CS F366,LABORATORY PROJECT,-,-,3,1,JABEZ J CHRISTOPHER,,,
CS F367,LABORATORY PROJECT,-,-,3,1,JABEZ J CHRISTOPHER,,,
CS F372,OPERATING SYSTEMS,3,-,3,1,BARSHA MITRA/Guest Faculty,M W F,"13(8.00p
m)",
,,,,,,Mekala Kiran,,,
,,,,,,Pattiwar Shravan Kumar,,,
,,,,,,S Rasagna Vakkalanka,,,
CS F376,DESIGN PROJECT,-,-,3,1,JABEZ J CHRISTOPHER,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"COURSE
NO.",COURSE TITLE,"CREDIT
L P U",,,"S E
C","INSTRUCTOR-IN-CHARGE/
Instructor",DAYS,HOURS,
CS F377,DESIGN PROJECT,-,-,3,1,JABEZ J CHRISTOPHER,,,
CS F402,COMPUTATIONAL GEOMETRY,3,-,3,1,MANJANNA B,T Th S,3,
CS F407,ARTIFICIAL INTELLIGENCE,3,-,3,1,JABEZ J CHRISTOPHER,T Th S,4,
,,,,,,Attarde Pranjali Devidas,,,
,,,,,,Chavali Lalitha,,,
,,,,,,Nida Fatima,,,
CS F413,INTERNETWORKING TECH,3,-,3,1,NIKUMANI CHOUDHURY,T Th S,2,
CS F415,DATA MINING,3,-,3,1,MANIK GUPTA,M W F,3,
,,,,,,Harsha Varun Marisetty,,,
,,,,,,Prerna Saurabh,,,
CS F441,SEL TOPICS FROM COMP SC,3,-,3,1,RAJIB RANJAN MAITI,M W F,2,
CS F469,INFORMATION RETRIEVAL,3,-,3,1,ARUNA MALAPATI,T Th S,3,
,,,,,,K Simran,,,
,,,,,,Pooja,,,
CS G513,NETWORK SECURITY,3,1,4,1,G GEETHAKUMARI,M W F,3,
,Practical,,,,,G Geethakumari,Th,89,
CS G516,ADVANCED DATABASE SYSTEMS,3,1,4,1,SUBHRAKANTA PANDA,T Th S,3,
,Practical,,,,,Subhrakanta Panda,W,89,
CS G520,ADVANCED DATA MINING,3,1,4,1,ANEESH SREEVALLABH C,T Th S,5,
,Practical,,,,,Aneesh Sreevallabh Chivuku,M,89,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"COURSE
NO.",COURSE TITLE,"CREDIT
L P U",,,"S E
C","INSTRUCTOR-IN-CHARGE/
Instructor",DAYS,HOURS,
CS G523,SOFTWARE FOR EMBEDDED SYS,3,2,5,1,CHETAN KUMAR V,T Th S,3,
,Practical,,,,,Samala Jagadheesh,M W,89,
CS G524,ADV COMPUTER ARCHITECTURE,3,-,5,1,ARITRA MUKHERJEE,T Th S,4,
,Practical,,,,,Aritra Mukherjee,T,89,
DE G513,TRIBOLOGY,3,2,5,1,PRABAKARAN SARAVANA,T Th S,2,
,Practical,,,,,Prabakaran Saravanan,T Th,89,
DE G514,FRACTURE MECHANICS,3,2,5,1,AMOL VUPPULURI,M W F,4,
,Practical,,,,,Aarjoo Jaimin,M,89,
,,,,,,Aarjoo Jaimin,S,56,
ECE F241,MICROPROC & INTERFACING,3,1,4,1,SUBHRADEEP PAL,T Th S,4,
,,,,,2,Runa Kumari,T Th S,4,
,Practical,,,,1,Subhradeep Pal,F,67,
,,,,,,Keerthi C J,,,
,,,,,2,TO BE ANNOUNCED,M,67,
,,,,,,Pn Sidhartha,,,
,,,,,3,TO BE ANNOUNCED,W,67,
,,,,,,Ramya K,,,Unnamed: 9
,,,,,4,Sourav Nandi,M,67,
,,,,,,Battina Sindhu,,,
,,,,,5,Sourav Nandi,F,67,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"COURSE
NO.",COURSE TITLE,"CREDIT
L P U",,,"S E
C","INSTRUCTOR-IN-CHARGE/
Instructor",DAYS,HOURS,
,,,,,,Battina Sindhu,,,
,,,,,6,Mrunali Dnyaneshwar Wagh,T,23,
,,,,,,TO BE ANNOUNCED,,,
,,,,,7,Sanket Goel,Th,23,
,,,,,,Manish Laxminarayan Bhaiy,,,
,,,,,8,Ritesh Kumar Singh,T,23,
,,,,,,TO BE ANNOUNCED,,,
,,,,,9,Sree Rama Amrutha Lahari,S,23,
,,,,,,Ch Suresh Kumar,,,
,,,,,10,Ritesh Kumar Singh,Th,23,
,,,,,,Keerthi C J,,,
,,,,,11,Sree Rama Amrutha Lahari,W,67,
,,,,,,TO BE ANNOUNCED,,,
,,,,,12,Mrunali Dnyaneshwar Wagh,T,67,
,,,,,,TO BE ANNOUNCED,,,
,,,,,13,Kurakula Anudeep,T,67,
,,,,,,Pn Sidhartha,,,
,,,,,14,Ramya K,Th,3 7,
,,,,,,Ch Suresh Kumar,,,
,,,,,15,Manish Laxminarayan Bhaiy,S,23,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"COURSE
NO.",COURSE TITLE,"CREDIT
L P U",,,"S E
C","INSTRUCTOR-IN-CHARGE/
Instructor",DAYS,HOURS,
,,,,,,TO BE ANNOUNCED,,,
,,,,,16,Kurakula Anudeep,Th,67,
,,,,,,TO BE ANNOUNCED,,,
,Tutorial,,,,1,Subhradeep Pal,T,8,
,,,,,2,Subhradeep Pal,Th,8,
,,,,,3,Runa Kumari,T,8,
,,,,,4,Runa Kumari,Th,1 7,
,,,,,5,Gopal Krishna Kamath M,T,8,
,,,,,6,Gopal Krishna Kamath M,Th,8,
,,,,,7,Sourav Nandi,T,8,
,,,,,8,Sourav Nandi,Th,1 7,
,,,,,9,Atri Mukhopadhyay,T,8,
,,,,,10,Atri Mukhopadhyay,Th,8,
ECE F242,CONTROL SYSTEMS,3,-,3,1,JOYJIT MUKHERJEE,T Th,9,
,,,,,,Joyjit Mukherjee,F,1 9,
,,,,,2,Harish Vijay Dixit,T Th,9,
,,,,,,Ankur Bhattacharjee,,,
,,,,,,Harish Vijay Dixit,F,10,
,,,,,,Ankur Bhattacharjee,,,
,Tutorial,,,,1,Harish Vijay Dixit,Th,1,
,,,,,,,,,Unnamed: 9
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"COURSE
NO.",COURSE TITLE,"CREDIT
L P U",,,"S E
C","INSTRUCTOR-IN-CHARGE/
Instructor",DAYS,HOURS,
,,,,,2,Harish Vijay Dixit,S,1,
,,,,,3,Ankur Bhattacharjee,Th,1,
,,,,,4,Gopal Krishna Kamath M,S,1,
,,,,,5,Joyjit Mukherjee,Th,1,
,,,,,6,Joyjit Mukherjee,S,1,
ECE F243,SIGNALS & SYSTEMS,3,-,3,1,BVVSN PRABHAKAR RAO,M W F,3,
,,,,,2,Venkateswaran R,M W F,3,
,Tutorial,,,,1,BVVSN Prabhakar Rao,Th,1,
,,,,,2,BVVSN Prabhakar Rao,S,1,
,,,,,3,Venkateswaran R,Th,1,
,,,,,4,Venkateswaran R,S,1,
,,,,,5,Pratyush Chakraborty,Th,1,
,,,,,6,Pratyush Chakraborty,S,1,
ECE F244,MICROELECTRONIC CIRCUITS,3,-,3,1,SYED ERSHAD AHMED,M W F,2,
,Tutorial,,,,1,Syed Ershad Ahmed,T,1,
,,,,,2,Syed Ershad Ahmed,Th,8,
,,,,,3,Surya Shankar Dan,T,1,
,,,,,4,Surya Shankar Dan,Th,8,
,,,,,5,Parikshit Parshuram Sahatiy,T,1,
,,,,,6,Parikshit Parshuram Sahatiy,Th,8,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"COURSE
NO.",COURSE TITLE,"CREDIT
L P U",,,"S E
C","INSTRUCTOR-IN-CHARGE/
Instructor",DAYS,HOURS,
ECE F266,STUDY PROJECT,-,-,3,1,STP SRINIVAS,,,
ECE F312,EM FIELDS LAB MICRO ENGG LAB,-,1,1,1,RUNA KUMARI,F,45,
,,,,,,Neha Parmar,,,
ECE F341,ANALOG ELECTRONICS,3,1,4,1,PRASANT KUMAR P,T Th S,5,
,,,,,2,Amit Kumar Panda,T Th S,5,
,Practical,,,,1,Prasant Kumar P,M,45,
,,,,,,Chaluvadi V Naga Bhaskar,,,
,,,,,2,Prasant Kumar P,W,45,
,,,,,,Chaluvadi V Naga Bhaskar,,,
,,,,,3,Rajesh Kumar Tripathy,F,45,
,,,,,,Vanmathi S,,,
,,,,,4,BVVSN Prabhakar Rao,T,89,
,,,,,,Nishchitha N K,,,
,,,,,5,BVVSN Prabhakar Rao,Th,89,
,,,,,,Nishchitha N K,,,
,,,,,6,Shuvra Jyoti Bose,M,67,
,,,,,,Sohel Siraj,,,
,,,,,7,Shuvra Jyoti Bose,W,67,
,,,,,,Sohel Siraj,,,
,,,,,,Vanmathi S,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"COURSE
NO.",COURSE TITLE,"CREDIT
L P U",,,"S E
C","INSTRUCTOR-IN-CHARGE/
Instructor",DAYS,HOURS,
,Tutorial,,,,1,Prasant Kumar P,M,1,
,,,,,2,Prasant Kumar P,W,1,Unnamed: 9
,,,,,3,Amit Kumar Panda,M,1,
,,,,,4,Amit Kumar Panda,W,1,
,,,,,5,Rajesh Kumar Tripathy,M,1,
,,,,,6,Rajesh Kumar Tripathy,W,12 31,
,,,,,7,Ponnalagu R N,M,1,
ECE F343,COMMUNICATION NETWORKS,3,-,3,1,S K SAHOO,M W F,9,
,Tutorial,,,,1,S K Sahoo,W,1,
,,,,,2,S K Sahoo,F,1,
ECE F344,INFO THEORY & CODING,3,-,3,1,ATRI MUKHOPADHYAY,T Th S,3,
,Tutorial,,,,1,Atri Mukhopadhyay,F,12 31,
,,,,,2,S K Chatterjee,T,7,
ECE F366,LABORATORY PROJECT,-,-,3,1,PRATYUSH CHAKRABORT,,,
ECE F367,LABORATORY PROJECT,-,-,3,1,PRATYUSH CHAKRABORT,,,
ECE F376,DESIGN PROJECT,-,-,3,1,JOYJIT MUKHERJEE,,,
ECE F377,DESIGN PROJECT,-,-,3,1,JOYJIT MUKHERJEE,,,
ECE F416,DIGITAL COMMUNICATION,3,-,3,1,GOPAL KRISHNA KAMATH,M W F,1 2,
ECON F211,PRINCIPLES OF ECONOMICS,3,-,3,1,Mini Thomas,M W F,9,
,,,,,2,ARCHANA SRIVASTAVA,M W F,9,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"COURSE
NO.",COURSE TITLE,"CREDIT
L P U",,,"S E
C","INSTRUCTOR-IN-CHARGE/
Instructor",DAYS,HOURS,
,,,,,3,Sudatta Banerjee,M W F,1 8,
,,,,,4,Rishi Kumar,M W F,9,
,,,,,5,Dushyant Kumar,T Th,8,
,,,,,,Dushyant Kumar,M,10,
,Tutorial,,,,1,Mini Thomas,W,12 31,
,,,,,2,Archana Srivastava,W,1,
,,,,,3,Sudatta Banerjee,W,1,
,,,,,4,Rishi Kumar,W,1,
,,,,,5,Dushyant Kumar,F,12 31,
ECON F212,FUNDA OF FIN AND ACCOUNT,3,-,3,1,T NAGARAJU,T Th S,2,
ECON F215,"COMPUTATIONAL METHODS FOR
ECON",3,-,3,1,BHEEMESHWAR REDDY A,T Th S,2,
ECON F241,ECONOMETRIC METHODS,3,-,3,1,BHEEMESHWAR REDDY A,M W F,2,
,Tutorial,,,,,Bheemeshwar Reddy A,T,1 7,
ECON F242,MICROECONOMICS,3,-,3,1,VIVEKANANDA MUKHERJE,T Th S,4,
,Tutorial,,,,,Vivekananda Mukherjee,Th,1,
ECON F243,MACROECONOMICS,3,-,3,1,SUNNY KUMAR SINGH,T Th,9,
,Tutorial,,,,,Sunny Kumar Singh,F,1 9,
,,,,,,Sunny Kumar Singh,S,1,
ECON F244,ECONOMIC OF GROWTH & DEV,3,-,3,1,SUDATTA BANERJEE,M W F,3,
,Tutorial,,,,,Sudatta Banerjee,Th,8,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"COURSE
NO.",COURSE TITLE,"CREDIT
L P U",,,"S E
C","INSTRUCTOR-IN-CHARGE/
Instructor",DAYS,HOURS,
ECON F266,STUDY PROJECT,-,-,3,1,ARCHANA SRIVASTAVA,,,
ECON F315,FINANCIAL MANAGEMENT,3,-,3,1,NIVEDITA SINHA,T Th S,2,
ECON F341,PUBLIC FIN THEO & POLICY,3,-,3,1,MINI THOMAS,M W F,4,
,Tutorial,,,,,Mini Thomas,M,1,
ECON F342,APPLIED ECONOMETRICS,3,-,3,1,RISHI KUMAR,T Th S,3,
,Tutorial,,,,,Rishi Kumar,F,1,
ECON F343,ECONOMIC ANAL OF PUB POL,3,-,3,1,DURGESH C PATHAK,M W F,9,
,Tutorial,,,,,Durgesh C Pathak,W,1,Unnamed: 9
ECON F345,BEHAVIORAL ECONOMICS,3,-,3,1,DUSHYANT KUMAR,T Th S,4,
ECON F354,DERIVATIVES & RISK MGMT,3,-,3,1,SHREYA BISWAS,T Th S,4,
,,,,,2,TO BE ANNOUNCED,T Th S,4,
ECON F355,BUSS ANAL & VALUATION,3,-,3,1,NIVEDITA SINHA,M W F,3,
,,,,,2,TO BE ANNOUNCED,M W F,3,
ECON F366,LABORATORY PROJECT,-,-,3,1,ARCHANA SRIVASTAVA,,,
ECON F367,LABORATORY PROJECT,-,-,3,1,ARCHANA SRIVASTAVA,,,
ECON F376,DESIGN PROJECT,-,-,3,1,ARCHANA SRIVASTAVA,,,
ECON F377,DESIGN PROJECT,-,-,3,1,ARCHANA SRIVASTAVA,,,
ECON F411,PROJECT APPRAISAL,3,-,3,1,SUNNY KUMAR SINGH,T Th S,3,
ECON F412,SECUR ANAL & PORTFOL MGT,3,-,3,1,SHREYA BISWAS,M W F,2,
ECON F416,REGIONAL ECONOMICS,3,-,3,1,VIVEKANANDA MUKHERJE,M W F,2,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"COURSE
NO.",COURSE TITLE,"CREDIT
L P U",,,"S E
C","INSTRUCTOR-IN-CHARGE/
Instructor",DAYS,HOURS,
ECON F419,ADVANCED MICROECONOMICS,3,-,3,1,DUSHYANT KUMAR,M W F,3,
ECON F434,INTERNATIONAL BUSINESS,3,-,3,1,ARCHANA SRIVASTAVA,M W F,3,
ECON F435,MARKETING RESEARCH,3,-,3,1,C H YAGANTI,T Th S,3,
EEE F241,MICROPROC & INTERFACING,3,1,4,1,SUBHRADEEP PAL,T Th S,4,
,,,,,2,Runa Kumari,T Th S,4,
,Practical,,,,1,Subhradeep Pal,F,67,
,,,,,,Keerthi C J,,,
,,,,,2,TO BE ANNOUNCED,M,67,
,,,,,,Pn Sidhartha,,,
,,,,,3,TO BE ANNOUNCED,W,67,
,,,,,,Ramya K,,,
,,,,,4,Sourav Nandi,M,67,
,,,,,,Battina Sindhu,,,
,,,,,5,Sourav Nandi,F,67,
,,,,,,Battina Sindhu,,,
,,,,,6,Mrunali Dnyaneshwar Wagh,T,23,
,,,,,,TO BE ANNOUNCED,,,
,,,,,7,Sanket Goel,Th,23,
,,,,,,Manish Laxminarayan Bhaiy,,,
,,,,,8,Ritesh Kumar Singh,T,23,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"COURSE
NO.",COURSE TITLE,"CREDIT
L P U",,,"S E
C","INSTRUCTOR-IN-CHARGE/
Instructor",DAYS,HOURS,
,,,,,,TO BE ANNOUNCED,,,
,,,,,9,Sree Rama Amrutha Lahari,S,23,
,,,,,,Ch Suresh Kumar,,,
,,,,,10,Ritesh Kumar Singh,Th,23,
,,,,,,Keerthi C J,,,
,,,,,11,Sree Rama Amrutha Lahari,W,3 7,
,,,,,,TO BE ANNOUNCED,,,
,,,,,12,Mrunali Dnyaneshwar Wagh,T,67,
,,,,,,TO BE ANNOUNCED,,,
,,,,,13,Kurakula Anudeep,T,3 7,
,,,,,,Pn Sidhartha,,,
,,,,,14,Ramya K,Th,67,Unnamed: 9
,,,,,,Ch Suresh Kumar,,,
,,,,,15,Manish Laxminarayan Bhaiy,S,23,
,,,,,,TO BE ANNOUNCED,,,
,,,,,16,Kurakula Anudeep,Th,3 7,
,,,,,,TO BE ANNOUNCED,,,
,Tutorial,,,,1,Subhradeep Pal,T,8,
,,,,,2,Subhradeep Pal,Th,8,
,,,,,3,Runa Kumari,T,1 7,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"COURSE
NO.",COURSE TITLE,"CREDIT
L P U",,,"S E
C","INSTRUCTOR-IN-CHARGE/
Instructor",DAYS,HOURS,
,,,,,4,Runa Kumari,Th,8,
,,,,,5,Gopal Krishna Kamath M,T,8,
,,,,,6,Gopal Krishna Kamath M,Th,8,
,,,,,7,Sourav Nandi,T,8,
,,,,,8,Sourav Nandi,Th,8,
,,,,,9,Atri Mukhopadhyay,T,8,
,,,,,10,Atri Mukhopadhyay,Th,8,
EEE F242,CONTROL SYSTEMS,3,-,3,1,JOYJIT MUKHERJEE,T Th,9,
,,,,,,Joyjit Mukherjee,F,10,
,,,,,2,Harish Vijay Dixit,T Th,9,
,,,,,,Ankur Bhattacharjee,,,
,,,,,,Harish Vijay Dixit,F,10,
,,,,,,Ankur Bhattacharjee,,,
,Tutorial,,,,1,Harish Vijay Dixit,Th,1,
,,,,,2,Harish Vijay Dixit,S,1,
,,,,,3,Ankur Bhattacharjee,Th,1,
,,,,,4,Gopal Krishna Kamath M,S,1,
,,,,,5,Joyjit Mukherjee,Th,1,
,,,,,6,Joyjit Mukherjee,S,1,
EEE F243,SIGNALS & SYSTEMS,3,-,3,1,BVVSN PRABHAKAR RAO,M W F,3,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"COURSE
NO.",COURSE TITLE,"CREDIT
L P U",,,"S E
C","INSTRUCTOR-IN-CHARGE/
Instructor",DAYS,HOURS,
,,,,,2,Venkateswaran R,M W F,3,
,Tutorial,,,,1,BVVSN Prabhakar Rao,Th,1,
,,,,,2,BVVSN Prabhakar Rao,S,1,
,,,,,3,Venkateswaran R,Th,1,
,,,,,4,Venkateswaran R,S,1,
,,,,,5,Pratyush Chakraborty,Th,1,
,,,,,6,Pratyush Chakraborty,S,1,
EEE F244,MICROELECTRONIC CIRCUITS,3,-,3,1,SYED ERSHAD AHMED,M W F,2,
,Tutorial,,,,1,Syed Ershad Ahmed,T,1,
,,,,,2,Syed Ershad Ahmed,Th,8,
,,,,,3,Surya Shankar Dan,T,1,
,,,,,4,Surya Shankar Dan,Th,8,
,,,,,5,Parikshit Parshuram Sahatiy,T,1,
,,,,,6,Parikshit Parshuram Sahatiy,Th,8,
EEE F245,CONTROL SYSTEMS LABORATORY,-,1,1,1,JOYJIT MUKHERJEE,T,67,
,,,,,,Manoj Samal,,,
,,,,,2,Joyjit Mukherjee,F,67,
,,,,,,Gorityala Aishvaria,,,Unnamed: 9
,,,,,3,Ankur Bhattacharjee,T,23,
,,,,,,Priyalatha. P,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"COURSE
NO.",COURSE TITLE,"CREDIT
L P U",,,"S E
C","INSTRUCTOR-IN-CHARGE/
Instructor",DAYS,HOURS,
,,,,,4,Priyalatha. P,S,23,
,,,,,,Gorityala Aishvaria,,,
,,,,,,Manoj Samal,,,
EEE F246,"ELECTRICAL & ELECTRONIC
CIRCUITS LABORATORY",-,2,2,1,PRATYUSH CHAKRABORT,1 T Th,67,
,,,,,,Naresh Bahadursha,,,
,,,,,,Sanjana Mathew,,,
,,,,,,Syed Ershad Ahmed,,,
,,,,,2,Venkateswaran R,1 M W,67,
,,,,,,Aditya Tiwari,,,
,,,,,,Sayan Kanungo,,,
,,,,,,Shaswati Dash,,,
EEE F266,STUDY PROJECT,-,-,3,1,STP SRINIVAS,,,
EEE F312,POWER SYSTEMS,3,-,3,1,ALIVELU MANGA PARIMI,T Th S,3,
,Tutorial,,,,1,Alivelu Manga Parimi,W,1,
,,,,,2,Alivelu Manga Parimi,Th,1 6,
EEE F341,ANALOG ELECTRONICS,3,1,4,1,PRASANT KUMAR P,T Th S,5,
,,,,,2,Amit Kumar Panda,T Th S,5,
,Practical,,,,1,Prasant Kumar P,M,45,
,,,,,,Chaluvadi V Naga Bhaskar,,,
,,,,,2,Prasant Kumar P,W,45,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"COURSE
NO.",COURSE TITLE,"CREDIT
L P U",,,"S E
C","INSTRUCTOR-IN-CHARGE/
Instructor",DAYS,HOURS,
,,,,,,Chaluvadi V Naga Bhaskar,,,
,,,,,3,Rajesh Kumar Tripathy,F,45,
,,,,,,Vanmathi S,,,
,,,,,4,BVVSN Prabhakar Rao,T,3 29,
,,,,,,Nishchitha N K,,,
,,,,,5,BVVSN Prabhakar Rao,Th,89,
,,,,,,Nishchitha N K,,,
,,,,,6,Shuvra Jyoti Bose,M,67,
,,,,,,Sohel Siraj,,,
,,,,,7,Shuvra Jyoti Bose,W,3 7,
,,,,,,Sohel Siraj,,,
,,,,,,Vanmathi S,,,
,Tutorial,,,,1,Prasant Kumar P,M,1,
,,,,,2,Prasant Kumar P,W,12 31,
,,,,,3,Amit Kumar Panda,M,1,
,,,,,4,Amit Kumar Panda,W,1,
,,,,,5,Rajesh Kumar Tripathy,M,1,
,,,,,6,Rajesh Kumar Tripathy,W,1,
,,,,,7,Ponnalagu R N,M,1,
EEE F342,POWER ELECTRONICS,3,1,4,1,SUDHA RADHIKA,M W F,8,
,,,,,,,,,
,,,,,,,,,Unnamed: 9
,,,,,,,,,
,,,,,,,,,
"COURSE
NO.",COURSE TITLE,"CREDIT
L P U",,,"S E
C","INSTRUCTOR-IN-CHARGE/
Instructor",DAYS,HOURS,
,Practical,,,,1,Sudha Radhika,W,45,
,,,,,,N Praneeth,,,
,,,,,,Santhi Durganjali Challa,,,
,,,,,2,Mithun Mondal,T,89,
,,,,,,Santhi Durganjali Challa,,,
,,,,,,TO BE ANNOUNCED,,,
,,,,,3,STP Srinivas,M,2 13,
,,,,,,Nawin Ra,,,
,,,,,,TO BE ANNOUNCED,,,
,,,,,4,STP Srinivas,F,45,
,,,,,,N Praneeth,,,
,,,,,,Nawin Ra,,,
,Tutorial,,,,1,Sudha Radhika,T,7,
,,,,,2,Sudha Radhika,Th,7,
,,,,,3,Sudha Radhika,F,1,
EEE F348,FPGA BASED SYSTEM DESIGN LAB,-,2,2,1,AMIT KUMAR PANDA,M W,45,
,,,,,,Himanshi Awasthi,,,
,,,,,2,S K Sahoo,W F,67,
,,,,,,Soumi Saha,,,
EEE F366,LABORATORY PROJECT,-,-,3,1,PRATYUSH CHAKRABORT,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"COURSE
NO.",COURSE TITLE,"CREDIT
L P U",,,"S E
C","INSTRUCTOR-IN-CHARGE/
Instructor",DAYS,HOURS,
EEE F367,LABORATORY PROJECT,-,-,3,1,PRATYUSH CHAKRABORT,,,
EEE F376,DESIGN PROJECT,-,-,3,1,JOYJIT MUKHERJEE,,,
EEE F377,DESIGN PROJECT,-,-,3,1,JOYJIT MUKHERJEE,,,
EEE F416,DIGITAL COMMUNICATION,3,-,3,1,GOPAL KRISHNA KAMATH,M W F,3,
EEE F428,ENERGY STORAGE SYSTEMS,3,-,3,1,ANKUR BHATTACHARJEE,M W F,2,
EEE F435,DIGITAL IMAGE PROCESSING,3,-,3,1,RAJESH KUMAR TRIPATHY,T Th S,4,
EEE F474,ANTENNA THEORY AND DESIGN,3,1,4,1,SOURAV NANDI,M W F,2,
,,,,,,Harish Vijay Dixit,,,
,Practical,,,,,Sourav Nandi,W,45,
,,,,,,Neha Parmar,,,
EEE F477,"MODELING OF FIELD-EFFECT
NANO DEVICES",3,-,3,1,SAYAN KANUNGO,T Th S,2,
EEE F478,POWER SYSTEMS LAB,-,2,2,1,ALIVELU MANGA PARIMI,M W,67,
,,,,,,Renuka Loka,,,
EEE G592,"MOBILE & PERSONAL
COMMUNICATION",3,2,5,1,PRASHANT WALI,T Th S,3,
,Practical,,,,,T Sachin Ravikant,M W,89,
EEE G622,"ADVANCED DIGITAL
COMMUNICATION",3,2,5,1,PRASHANT WALI,M W F,4,
,Practical,,,,,Cynthia C,T Th,45,
FIN F311,DERIVATIVES & RISK MGMT,3,-,3,1,SHREYA BISWAS,T Th S,4,
,,,,,2,TO BE ANNOUNCED,T Th S,4,
FIN F313,SECUR ANAL & PORTFOL MGT,3,-,3,1,SHREYA BISWAS,M W F,2,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"COURSE
NO.",COURSE TITLE,"CREDIT
L P U",,,"S E
C","INSTRUCTOR-IN-CHARGE/
Instructor",DAYS,HOURS,
FIN F315,FINANCIAL MANAGEMENT,3,-,3,1,NIVEDITA SINHA,T Th S,2,
FIN F414,"FINANCIAL RISK ANALYTICS AND
MANAGEMENT",3,-,3,1,T NAGARAJU,S,789,
GS F223,INTRO TO MASS COMM,3,-,3,1,SPANDAN BHATTACHARYA,M W F,8,Unnamed: 9
GS F312,APPLIED PHILOSOPHY,3,-,3,1,JAYESH A K,M W F,4,
GS F333,PUBLIC ADMINISTRATION,3,-,3,1,LAVANYA SURESH,M W F,8,
HSS F222,LINGUISTICS,3,-,3,1,PRANESH BHARGAVA,M W F,4,
HSS F235,INTRODUCTORY PHILOSOPHY,3,-,3,1,JAYESH A K,T Th S,1 2,
HSS F237,"CONTEMPORARY INDIAN ENGLISH
FICTION",3,-,3,1,VIJAY KUMAR TADAKAMAL,M W F,8,
HSS F316,POP LITER & CULT OF S ASIA,3,-,3,1,MAYA VINAY,T Th S,3,
HSS F317,INTRO TO GLOBALIZATION,3,-,3,1,HARSH MITTAL,M W F,4,
HSS F334,SRIMAD BHAGAVAD GITA,3,-,3,1,ARUNA LOLLA,T Th S,3,
HSS F335,LITERARY CRITICISM,3,-,3,1,SHILPAA ANAND,M W F,4,
HSS F338,COMPARATIVE INDIAN LIT,3,-,3,1,MG PRASUNA,M W F,1 3,
HSS F340,POST COLONIAL LITERATURE,3,-,3,1,VIJAY KUMAR TADAKAMAL,T Th S,2,
HSS F342,ADV COMMUNICATIVE ENG,3,-,3,1,PRANESH BHARGAVA,M W F,8,
HSS F346,INTERNATIONAL RELATIONS,3,-,3,1,SUCHISMITA SATPATHY,M W F,8,
HSS F349,ECOCRITICISM,3,-,3,1,TONY SEBASTIAN,T Th S,1 1,
